id,URL,party,timestamp,type,message,link,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
32,https://www.facebook.com/FDP/posts/10157214598217250,FDP,2019-04-29T13:24:08Z,video,"Warum wir uns für #Bildung auch auf EU-Ebene 🇪🇺 einsetzen und was wir ändern wollen, erklärt Euch Nicola Beer im Video 📺 zur Themenwoche.💪  #ChancenNutzen 🚀",https://www.facebook.com/FDP/videos/578415875984410/,342,65,481,382,21,2,66,1,9
33,https://www.facebook.com/DiePARTEI/posts/2167737739928909,DiePARTEI,2019-04-29T14:44:48Z,video,Lisas Reise geht weiter.,https://www.facebook.com/DiePARTEIHH/videos/2173827719377638/,5,8,122,117,5,0,0,0,0
34,https://www.facebook.com/freie.waehler.bundesvereinigung/posts/1263958713756152,freie.waehler.bundesvereinigung,2019-04-29T18:00:01Z,photo,"Heimat der Sicherheit Europa muss sicherer werden, um wieder ohne Grenzkontrollen auszukommen: organisierte Kriminalität, Terrorgefahr und unkontrollierte Migration stellen aber unseren Wunsch nach einem Europa ohne Binnengrenzen derzeit in Frage. Grenzkontrollen oder sogar Grenzzäune sind in einigen Ländern Europas wieder Realität geworden. Das wollen wir FREIE WÄHLER ändern, indem wir die europäische Sicherheit nach innen und außen massiv stärken.   Alle unsere Vorhaben finden Sie hier: https://www.unsereheimateuropa.de/unsere-politik/sicherheit/   #UnsereHeimatEuropa #FREIEWÄHLER",https://www.facebook.com/freie.waehler.bundesvereinigung/photos/a.204390103046357/1263958377089519/?type=3,83,80,302,182,1,6,91,0,22
35,https://www.facebook.com/FDP/posts/10157214825702250,FDP,2019-04-29T15:24:00Z,photo,"Es ist nicht wichtig, woher Du kommst, sondern wohin Du willst❗️Damit Du das kannst, wollen wir die Stipendienkultur auf europäischer Ebene ausbauen. 💪 Zum Beispiel durch die Vergabe von #Forschungsstipendien aus Mitteln der EU 🇪🇺. Dazu gehört auch ein Programm für ein #Europastipendium – ähnlich dem Deutschlandstipendium –, das an Studierende vergeben wird, die nach ihrem Schulabschluss zum Studium in ein anderes Land wechseln wollen. #ChancenNutzen 🚀",https://www.facebook.com/FDP/photos/a.82276712249/10157214780672250/?type=3,24,18,236,221,12,0,3,0,0
36,https://www.facebook.com/B90DieGruenen/posts/10158269874078219,B90DieGruenen,2019-04-29T10:00:01Z,video,"Tadaaa! Unser Spot zur #Europawahl. Teile unseren Wahlspot mit so vielen Freund*innen wie möglich 💚  Für ein ökologisches, demokratisches und soziales Europa 🌻🇪🇺",https://www.facebook.com/B90DieGruenen/videos/668289276936094/,286,1511,1897,1603,161,6,90,1,36
37,https://www.facebook.com/freie.waehler.bundesvereinigung/posts/1264002600418430,freie.waehler.bundesvereinigung,2019-04-29T14:01:20Z,photo,"NA",https://www.facebook.com/fwbayern/photos/a.276512345835515/1280650335421706/?type=3,7,8,84,82,1,0,0,1,0
38,https://www.facebook.com/B90DieGruenen/posts/10158270559033219,B90DieGruenen,2019-04-29T15:50:16Z,photo,"Stell deine Fragen an unser Spitzenduo! Ska Keller und Sven Giegold sind ab heute auf deutschlandweiter Kommt-wir-bauen-das-neue-Europa-Tour. Townhalls, Stände, Aktionen – zahlreiche Gelegenheiten, um Ska und Sven persönlich zu treffen. Auch in deiner Nähe: gruene.de/wahlkampftour Teile unser Bild und verabrede dich mit deinen Freund*innen zu einem Townhall-Event in eurer Nähe!",https://www.facebook.com/B90DieGruenen/photos/a.103764373218/10158270471903219/?type=3,73,81,356,314,17,2,16,3,4
39,https://www.facebook.com/VoltDeutschland/posts/410660379484687,VoltDeutschland,2019-04-29T07:40:24Z,photo,"Volt - Wie alles begann:  2016 veranlasste das Votum zum Brexit und der immer weiter wachsende Einfluss von Rechtspopulisten in Europa die Europäer Andrea Venzon,Damian Boeselager und Colombe Cahen-Salvador dazu, mit Volt einen grenzübergreifenden und deshalb paneuropäischen politischen Ansatz für Europa zu finden mit dem Ziel, neue pragmatische und progressive Antworten auf die Herausforderungen der heutigen Zeit zu finden.  Unsere Vision ist ein vereinigtes Europa mit echter europäischer Demokratie - dazu bedarf es eines starken Europa Parlaments, das Gesetze vorschlagen kann und eine europäische Ministerpräsident*in wählt, die sich vor unseren Volksvertretern verantworten muss. Wir wollen eine echte europäische Regierung, die die Interessen aller Europäerinnen und Europäer vertritt! Europäische Politik braucht dazu europäische Parteien.🇪🇺 #votevolt #jointhechange #EP2019 #Europawahl",https://www.facebook.com/VoltDeutschland/photos/a.142697006281027/410660249484700/?type=3,9,89,284,265,13,3,2,0,1
40,https://www.facebook.com/linkspartei/posts/10155835382165683,linkspartei,2019-04-29T13:44:29Z,video,"Reguläre Jobs mit ordentlichen Löhnen und fairen Arbeitsbedingungen sind machbar. Hier unser 5-Punkte-Plan, mit dem gute Arbeit gegen die Macht der Konzerne durchgesetzt werden kann.",https://www.facebook.com/linkspartei/videos/2309694772603512/,29,363,578,537,30,2,7,0,2
41,https://www.facebook.com/freie.waehler.bundesvereinigung/posts/1263958080422882,freie.waehler.bundesvereinigung,2019-04-29T16:00:00Z,link,"Westbalkan Konferenz in Berlin – Zeitnaher EU-Beitritt nicht denkbar  Heute trafen sich auf Einladung von Frankreich und Deutschland die 8 Westbalkanländer in Berlin. Im Mittelpunkt standen dabei die seit 20 Jahren schwelenden Konflikte zwischen Serbien und dem Kosovo.   Diese Territorialstreitigkeiten sowie die internen Konflikte in Bosnien-Herzegowina stellen die größte Hürde für einen baldigen EU Beitritt dieser Länder dar. Für uns FREIE WÄHLER ist jedoch klar, dass Niemandem, der Teil unserer Werteordnung ist, eine Teilhabe an unserem europäischen Friedenswerk von vornherein verwehrt werden sollte. Schon bei den mittelosteuropäischen Ländern haben sich in Folge der Auflösung des Ostblocks ehrliche Beitrittsperspektiven als Reformmotor bewährt.  Die Verhandlungen mit den Staaten des Westbalkans wollen wir FREIE WÄHLER deshalb fortführen. Angesichts des bisherigen Verhandlungsverlaufes und der noch laufenden Konsolidierung der Union halten wir eine zeitnahe Aufnahme aller oder einzelner Westbalkanstaaten jedoch für noch nicht durchführbar.  #UnsereHeimatEuropa #FREIEWÄHLER","https://www.swr.de/swraktuell/Balkankonferenz-in-Berlin-Schwierige-Annaehrung-zwischen-Serbien-und-Kosovo,balkan-konferenz-100.html",16,6,28,10,0,0,0,2,16
